Exercise,Workout Category,Equipment Needed,Can Do At Home,Library Category,Muscle Group,Default Sets x Reps,Log Type
Bicep Curl (Machine),Machine & Cable Workout,Weight machine,Gym only,Machine,Biceps,3x12,reps
Cable Rope Hammer Curl,Machine & Cable Workout,Cable machine,Gym only,Machine,Biceps,3x15,reps
Hammer Curl (Cable),Machine & Cable Workout,Cable machine,Gym only,Machine,Biceps,3x12,reps
Overhead Curl (Cable),Machine & Cable Workout,Cable machine,Gym only,Machine,Biceps,3x12,reps
Preacher Curl (Machine),Machine & Cable Workout,Weight machine,Gym only,Machine,Biceps,3x12,reps
Reverse Curl (Cable),Machine & Cable Workout,Cable machine,Gym only,Machine,Biceps,3x12,reps
Rope Cable Curl,Machine & Cable Workout,Cable machine,Gym only,Machine,Biceps,3x12,reps
Single Arm Curl (Cable),Machine & Cable Workout,Cable machine,Gym only,Machine,Biceps,3x12,reps
Calf Extension (Machine),Machine & Cable Workout,Weight machine,Gym only,Machine,Calves,3x15,reps
Calf Press (Machine),Machine & Cable Workout,Weight machine,Gym only,Machine,Calves,3x15,reps
Leg Press Calf Raise,Machine & Cable Workout,Weight machine,Gym only,Machine,Calves,4x15,reps
Single Leg Standing Calf Raise (Machine),Machine & Cable Workout,Weight machine,Gym only,Machine,Calves,3x15,reps
Smith Machine Calf Raise,Machine & Cable Workout,Weight machine,Gym only,Machine,Calves,4x15,reps
Standing Calf Raise (Machine),Machine & Cable Workout,Weight machine,Gym only,Machine,Calves,3x15,reps
Standing Calf Raise (Smith),Machine & Cable Workout,Weight machine,Gym only,Machine,Calves,3x15,reps
Rowing Machine,Machine & Cable Workout,Weight machine,Gym only,Machine,Cardio,3x400m,distance
Stair Machine (Floors),Machine & Cable Workout,Weight machine,Gym only,Machine,Cardio,3x400m,distance
Stair Machine (Steps),Machine & Cable Workout,Weight machine,Gym only,Machine,Cardio,3x400m,distance
Bench Press (Cable),Machine & Cable Workout,Cable machine,Gym only,Machine,Chest,4x8,reps
Bench Press (Smith Machine),Machine & Cable Workout,Weight machine,Gym only,Machine,Chest,4x8,reps
Butterfly (Pec Deck),Machine & Cable Workout,Weight machine,Gym only,Machine,Chest,4x8,reps
Cable Crossover High,Machine & Cable Workout,Cable machine,Gym only,Machine,Chest,3x15,reps
Cable Crossover Low,Machine & Cable Workout,Cable machine,Gym only,Machine,Chest,3x15,reps
Cable Fly Crossovers,Machine & Cable Workout,Cable machine,Gym only,Machine,Chest,4x8,reps
Chest Fly (Machine),Machine & Cable Workout,Weight machine,Gym only,Machine,Chest,4x8,reps
Chest Press (Machine),Machine & Cable Workout,Weight machine,Gym only,Machine,Chest,4x8,reps
Decline Bench Press (Machine),Machine & Cable Workout,Weight machine,Gym only,Machine,Chest,4x8,reps
Decline Bench Press (Smith Machine),Machine & Cable Workout,Weight machine,Gym only,Machine,Chest,4x8,reps
Incline Bench Press (Smith Machine),Machine & Cable Workout,Weight machine,Gym only,Machine,Chest,4x8,reps
Incline Chest Press (Machine),Machine & Cable Workout,Weight machine,Gym only,Machine,Chest,4x8,reps
Iso-Lateral Chest Press (Machine),Machine & Cable Workout,Weight machine,Gym only,Machine,Chest,4x8,reps
Low Cable Fly Crossovers,Machine & Cable Workout,Cable machine,Gym only,Machine,Chest,4x8,reps
Seated Chest Flys (Cable),Machine & Cable Workout,Cable machine,Gym only,Machine,Chest,4x8,reps
Single Arm Cable Crossover,Machine & Cable Workout,Cable machine,Gym only,Machine,Chest,4x8,reps
Cable Kickback,Machine & Cable Workout,Cable machine,Gym only,Machine,Glutes,4x8,reps
Cable Pull Through,Machine & Cable Workout,Cable machine,Gym only,Machine,Glutes,4x8,reps
Deadlift (Smith Machine),Machine & Cable Workout,Weight machine,Gym only,Machine,Glutes,4x8,reps
Glute Kickback (Machine),Machine & Cable Workout,Weight machine,Gym only,Machine,Glutes,4x8,reps
Hip Thrust (Machine),Machine & Cable Workout,Weight machine,Gym only,Machine,Glutes,4x8,reps
Hip Thrust (Smith Machine),Machine & Cable Workout,Weight machine,Gym only,Machine,Glutes,4x8,reps
Rear Kick (Machine),Machine & Cable Workout,Weight machine,Gym only,Machine,Glutes,4x8,reps
Standing Cable Glute Kickbacks,Machine & Cable Workout,Cable machine,Gym only,Machine,Glutes,4x8,reps
Lying Leg Curl (Machine),Machine & Cable Workout,Weight machine,Gym only,Machine,Hamstrings,4x8,reps
Romanian Deadlift (Smith Machine),Machine & Cable Workout,Weight machine,Gym only,Machine,Hamstrings,4x8,reps
Seated Leg Curl (Machine),Machine & Cable Workout,Weight machine,Gym only,Machine,Hamstrings,4x8,reps
Standing Leg Curl,Machine & Cable Workout,Weight machine,Gym only,Machine,Hamstrings,3x12,reps
Assisted Pull Up Machine,Machine & Cable Workout,Weight machine,Gym only,Machine,Lats,3x10,reps
Cable Pullover,Machine & Cable Workout,Cable machine,Gym only,Machine,Lats,3x12,reps
Iso-Lateral High Row (Machine),Machine & Cable Workout,Weight machine,Gym only,Machine,Lats,4x8,reps
Lat Pulldown - Close Grip (Cable),Machine & Cable Workout,Cable machine,Gym only,Machine,Lats,4x8,reps
Lat Pulldown (Cable),Machine & Cable Workout,Cable machine,Gym only,Machine,Lats,4x8,reps
Lat Pulldown (Machine),Machine & Cable Workout,Cable machine,Gym only,Machine,Lats,4x8,reps
Nautilus Pullover,Machine & Cable Workout,Weight machine,Gym only,Machine,Lats,3x12,reps
Pullover (Machine),Machine & Cable Workout,Weight machine,Gym only,Machine,Lats,4x8,reps
Reverse Grip Lat Pulldown (Cable),Machine & Cable Workout,Cable machine,Gym only,Machine,Lats,4x8,reps
Rope Straight Arm Pulldown,Machine & Cable Workout,Cable machine,Gym only,Machine,Lats,4x8,reps
Single Arm Lat Pulldown,Machine & Cable Workout,Cable machine,Gym only,Machine,Lats,4x8,reps
Straight Arm Lat Pulldown (Cable),Machine & Cable Workout,Cable machine,Gym only,Machine,Lats,4x8,reps
Vertical Traction (Machine),Machine & Cable Workout,Weight machine,Gym only,Machine,Lats,4x8,reps
45 Degree Hyper,Machine & Cable Workout,Weight machine,Gym only,Machine,Lower Back,3x15,reps
Back Extension (Machine),Machine & Cable Workout,Weight machine,Gym only,Machine,Lower Back,4x8,reps
Neck Harness Extension,Machine & Cable Workout,Weight machine,Gym only,Machine,Neck,3x15,reps
Belt Squat (Machine),Machine & Cable Workout,Weight machine,Gym only,Machine,Quadriceps,4x8,reps
Hack Squat,Machine & Cable Workout,Weight machine,Gym only,Machine,Quadriceps,4x8,reps
Hack Squat (Machine),Machine & Cable Workout,Weight machine,Gym only,Machine,Quadriceps,4x8,reps
Leg Extension (Machine),Machine & Cable Workout,Weight machine,Gym only,Machine,Quadriceps,4x8,reps
Leg Press (Machine),Machine & Cable Workout,Weight machine,Gym only,Machine,Quadriceps,4x8,reps
Leg Press Horizontal (Machine),Machine & Cable Workout,Weight machine,Gym only,Machine,Quadriceps,4x8,reps
Pendulum Squat (Machine),Machine & Cable Workout,Weight machine,Gym only,Machine,Quadriceps,4x8,reps
Single Leg Press (Machine),Machine & Cable Workout,Weight machine,Gym only,Machine,Quadriceps,4x8,reps
Squat (Machine),Machine & Cable Workout,Weight machine,Gym only,Machine,Quadriceps,4x8,reps
Squat (Smith Machine),Machine & Cable Workout,Weight machine,Gym only,Machine,Quadriceps,4x8,reps
Terminal Knee Extension,Machine & Cable Workout,Weight machine,Gym only,Machine,Quadriceps,3x15,reps
External Rotation (Cable),Machine & Cable Workout,Cable machine,Gym only,Machine,Shoulders,3x15,reps
Front Raise (Cable),Machine & Cable Workout,Cable machine,Gym only,Machine,Shoulders,3x12,reps
Internal Rotation (Cable),Machine & Cable Workout,Cable machine,Gym only,Machine,Shoulders,3x15,reps
Lateral Raise (Cable),Machine & Cable Workout,Cable machine,Gym only,Machine,Shoulders,3x12,reps
Lateral Raise (Machine),Machine & Cable Workout,Weight machine,Gym only,Machine,Shoulders,3x12,reps
Leaning Cable Lateral Raise,Machine & Cable Workout,Cable machine,Gym only,Machine,Shoulders,3x15,reps
Overhead Press (Smith Machine),Machine & Cable Workout,Weight machine,Gym only,Machine,Shoulders,3x12,reps
Rear Delt Reverse Fly (Cable),Machine & Cable Workout,Cable machine,Gym only,Machine,Shoulders,3x12,reps
Rear Delt Reverse Fly (Machine),Machine & Cable Workout,Weight machine,Gym only,Machine,Shoulders,3x12,reps
Reverse Fly Single Arm (Cable),Machine & Cable Workout,Cable machine,Gym only,Machine,Shoulders,3x12,reps
Seated Shoulder Press (Machine),Machine & Cable Workout,Weight machine,Gym only,Machine,Shoulders,3x12,reps
Shoulder Press (Machine Plates),Machine & Cable Workout,Weight machine,Gym only,Machine,Shoulders,3x12,reps
Single Arm Lateral Raise (Cable),Machine & Cable Workout,Cable machine,Gym only,Machine,Shoulders,3x12,reps
Standing Y Raise (Cable),Machine & Cable Workout,Cable machine,Gym only,Machine,Shoulders,3x12,reps
Upright Row (Cable),Machine & Cable Workout,Cable machine,Gym only,Machine,Shoulders,3x12,reps
Shrug (Cable),Machine & Cable Workout,Cable machine,Gym only,Machine,Traps,3x12,reps
Shrug (Machine),Machine & Cable Workout,Weight machine,Gym only,Machine,Traps,3x12,reps
Shrug (Smith Machine),Machine & Cable Workout,Weight machine,Gym only,Machine,Traps,3x12,reps
Overhead Triceps Extension (Cable),Machine & Cable Workout,Cable machine,Gym only,Machine,Triceps,3x12,reps
Reverse Grip Triceps Pushdown,Machine & Cable Workout,Cable machine,Gym only,Machine,Triceps,3x12,reps
Seated Dip Machine,Machine & Cable Workout,Weight machine,Gym only,Machine,Triceps,3x12,reps
Single Arm Cable Kickback,Machine & Cable Workout,Cable machine,Gym only,Machine,Triceps,3x15,reps
Single Arm Triceps Pushdown (Cable),Machine & Cable Workout,Cable machine,Gym only,Machine,Triceps,3x12,reps
Triceps Extension (Cable),Machine & Cable Workout,Cable machine,Gym only,Machine,Triceps,3x12,reps
Triceps Extension (Machine),Machine & Cable Workout,Weight machine,Gym only,Machine,Triceps,3x12,reps
Triceps Kickback (Cable),Machine & Cable Workout,Cable machine,Gym only,Machine,Triceps,3x12,reps
Triceps Pushdown,Machine & Cable Workout,Cable machine,Gym only,Machine,Triceps,3x12,reps
Triceps Rope Pushdown,Machine & Cable Workout,Cable machine,Gym only,Machine,Triceps,3x12,reps
Bent Over Row (Smith Machine),Machine & Cable Workout,Weight machine,Gym only,Machine,Upper Back,4x8,reps
Cable Rear Delt Row,Machine & Cable Workout,Cable machine,Gym only,Machine,Upper Back,3x15,reps
Face Pull Rope,Machine & Cable Workout,Weight machine,Gym only,Machine,Upper Back,3x15,reps
Iso-Lateral Row (Machine),Machine & Cable Workout,Weight machine,Gym only,Machine,Upper Back,4x8,reps
Reverse Pec Deck,Machine & Cable Workout,Weight machine,Gym only,Machine,Upper Back,3x15,reps
Seated Cable Row - Bar Grip,Machine & Cable Workout,Cable machine,Gym only,Machine,Upper Back,4x8,reps
Seated Cable Row - Bar Wide Grip,Machine & Cable Workout,Cable machine,Gym only,Machine,Upper Back,4x8,reps
Seated Cable Row - V Grip (Cable),Machine & Cable Workout,Cable machine,Gym only,Machine,Upper Back,4x8,reps
Seated Row (Machine),Machine & Cable Workout,Weight machine,Gym only,Machine,Upper Back,4x8,reps
Single Arm Cable Row,Machine & Cable Workout,Cable machine,Gym only,Machine,Upper Back,4x8,reps
Downward Dog,Mobility & Stretching,None,Yes,Mobility / Stretch,Full Body,4x8,reps
Pilates,Mobility & Stretching,None,Yes,Mobility / Stretch,Full Body,3x45s,time
Stretching,Mobility & Stretching,None,Yes,Mobility / Stretch,Full Body,3x45s,time
Warm Up,Mobility & Stretching,None,Yes,Mobility / Stretch,Full Body,3x45s,time
Yoga,Mobility & Stretching,None,Yes,Mobility / Stretch,Full Body,3x45s,time
